image_id,reason
1250a079d3fbd919,recognizable_person
46afaf945caee54c,recognizable_person
60fdb7fd335eaf74,recognizable_people
711f4bda960e3983,recognizable_children
8302f7352b501bc4,recognizable_person
b833ff7e8c121fd4,recognizable_people_in_background
ec62b9d5a241a740,visible_person_body_part_and_weak_scene
31448db4cd36ee82,recognizable_person
7c125815652e330a,recognizable_child
9864b21f8c09959f,isolated_product_not_indoor_scene
a0f881141625f648,isolated_product_not_indoor_scene
44e6ff6555a759f3,miniature_or_isolated_product_not_indoor_scene
b5f7b2aa13abe836,recognizable_child
60fdb7fd333eaf74,recognizable_people
f2f0c6170f6935a7,outdoor_scene
fd21435721d28b95,outdoor_object
e6066bbe4cc79dfc,recognizable_person
